timestamp,token,open,high,low,close
2025-10-07 11:55:00,9832962,280.0,280.65,269.45,270.15
2025-10-07 12:00:00,9832962,270.15,270.45,238.45,241.4
2025-10-07 12:05:00,9832962,242.0,242.0,221.65,229.0
2025-10-07 12:10:00,9832962,229.4,243.35,226.4,240.35
2025-10-07 12:15:00,9832962,240.35,253.75,237.1,247.45
2025-10-07 12:20:00,9832962,247.45,253.5,238.25,241.1
2025-10-07 12:25:00,9832962,241.1,245.45,229.0,231.5
2025-10-07 12:30:00,9832962,231.5,240.4,228.8,233.1
2025-10-07 12:35:00,9832962,233.1,238.0,225.15,228.6
2025-10-07 12:40:00,9832962,228.6,232.1,222.15,227.65
2025-10-07 12:45:00,9832962,227.65,231.2,224.6,227.15
2025-10-07 12:50:00,9832962,227.4,237.65,220.3,224.45
2025-10-07 12:55:00,9832962,224.45,232.5,215.0,217.05
2025-10-07 13:00:00,9832962,217.05,221.55,202.4,205.5
2025-10-07 13:05:00,9832962,205.55,209.85,195.7,196.45
2025-10-07 13:10:00,9832962,197.05,207.4,195.55,199.7
2025-10-07 13:15:00,9832962,199.7,200.85,187.2,197.7
2025-10-07 13:20:00,9832962,197.7,202.0,194.05,199.2
2025-10-07 13:25:00,9832962,199.2,203.95,194.7,198.2
2025-10-07 13:30:00,9832962,198.2,222.6,194.8,216.0
2025-10-07 13:35:00,9832962,216.0,224.85,200.4,200.4
2025-10-07 13:40:00,9832962,200.4,200.4,176.4,177.6
2025-10-07 13:45:00,9832962,177.6,187.9,172.0,185.45
2025-10-07 13:50:00,9832962,186.35,198.75,183.4,191.3
2025-10-07 13:55:00,9832962,191.4,203.1,188.55,199.8
2025-10-07 14:00:00,9832962,200.65,200.9,186.9,190.05
2025-10-07 14:05:00,9832962,189.25,196.8,180.4,183.25
2025-10-07 14:10:00,9832962,183.25,205.25,182.45,186.7
2025-10-07 14:15:00,9832962,186.45,197.3,179.0,194.3
2025-10-07 14:20:00,9832962,194.3,207.55,194.3,203.15
2025-10-07 14:25:00,9832962,203.15,242.55,200.3,235.15
2025-10-07 14:30:00,9832962,235.15,245.0,224.15,245.0
2025-10-07 14:35:00,9832962,245.7,270.9,245.2,260.95
2025-10-07 14:40:00,9832962,260.95,277.35,249.55,267.25
2025-10-07 14:45:00,9832962,267.35,268.45,246.15,246.15
2025-10-07 09:45:00,9832962,248.9,252.45,225.8,228.25
2025-10-07 09:50:00,9832962,228.25,232.5,205.35,211.1
2025-10-07 09:55:00,9832962,211.1,215.25,195.55,210.7
2025-10-07 10:00:00,9832962,210.7,211.95,193.3,199.25
2025-10-07 10:05:00,9832962,199.25,204.65,195.15,202.75
2025-10-07 10:10:00,9832962,202.75,209.15,194.85,203.6
2025-10-07 10:15:00,9832962,203.6,213.0,198.75,207.4
2025-10-07 10:20:00,9832962,207.4,219.55,200.45,213.0
2025-10-07 10:25:00,9832962,213.0,220.0,207.1,211.9
2025-10-07 10:30:00,9832962,211.9,217.15,192.4,216.0
2025-10-07 10:35:00,9832962,216.0,229.25,205.25,206.35
2025-10-07 10:40:00,9832962,206.2,222.45,203.0,217.4
2025-10-07 10:45:00,9832962,217.4,224.1,215.2,223.9
2025-10-07 10:50:00,9832962,223.9,231.9,219.65,223.55
2025-10-07 10:55:00,9832962,223.55,240.4,219.9,232.3
2025-10-07 11:00:00,9832962,232.3,246.0,227.95,234.2
2025-10-07 11:05:00,9832962,234.2,236.65,223.2,227.1
2025-10-07 11:10:00,9832962,227.1,247.7,226.45,240.55
2025-10-07 11:15:00,9832962,240.55,254.75,234.6,250.55
2025-10-07 11:20:00,9832962,250.55,292.0,250.0,290.5
2025-10-07 11:25:00,9832962,290.5,290.5,263.7,263.85
2025-10-07 11:30:00,9832962,263.85,279.0,263.85,271.15
2025-10-07 11:35:00,9832962,271.15,306.55,269.65,287.7
2025-10-07 11:40:00,9832962,287.7,296.0,280.55,281.3
2025-10-07 11:45:00,9832962,281.3,295.0,267.3,281.55
2025-10-07 11:50:00,9832962,281.55,287.15,271.9,280.0
2025-10-07 11:55:00,9832962,280.0,280.65,269.45,270.15
2025-10-07 12:00:00,9832962,270.15,270.45,238.45,241.4
2025-10-07 12:05:00,9832962,242.0,242.0,221.65,229.0
2025-10-07 12:10:00,9832962,229.4,243.35,226.4,240.35
2025-10-07 12:15:00,9832962,240.35,253.75,237.1,247.45
2025-10-07 12:20:00,9832962,247.45,253.5,238.25,241.1
2025-10-07 12:25:00,9832962,241.1,245.45,229.0,231.5
2025-10-07 12:30:00,9832962,231.5,240.4,228.8,233.1
2025-10-07 12:35:00,9832962,233.1,238.0,225.15,228.6
2025-10-07 12:40:00,9832962,228.6,232.1,222.15,227.65
2025-10-07 12:45:00,9832962,227.65,231.2,224.6,227.15
2025-10-07 12:50:00,9832962,227.4,237.65,220.3,224.45
2025-10-07 12:55:00,9832962,224.45,232.5,215.0,217.05
2025-10-07 13:00:00,9832962,217.05,221.55,202.4,205.5
2025-10-07 13:05:00,9832962,205.55,209.85,195.7,196.45
2025-10-07 13:10:00,9832962,197.05,207.4,195.55,199.7
2025-10-07 13:15:00,9832962,199.7,200.85,187.2,197.7
2025-10-07 13:20:00,9832962,197.7,202.0,194.05,199.2
2025-10-07 13:25:00,9832962,199.2,203.95,194.7,198.2
2025-10-07 13:30:00,9832962,198.2,222.6,194.8,216.0
2025-10-07 13:35:00,9832962,216.0,224.85,200.4,200.4
2025-10-07 13:40:00,9832962,200.4,200.4,176.4,177.6
2025-10-07 13:45:00,9832962,177.6,187.9,172.0,185.45
2025-10-07 13:50:00,9832962,186.35,198.75,183.4,191.3
2025-10-07 13:55:00,9832962,191.4,203.1,188.55,199.8
2025-10-07 14:00:00,9832962,200.65,200.9,186.9,190.05
2025-10-07 14:05:00,9832962,189.25,196.8,180.4,183.25
2025-10-07 14:10:00,9832962,183.25,205.25,182.45,186.7
2025-10-07 14:15:00,9832962,186.45,197.3,179.0,194.3
2025-10-07 14:20:00,9832962,194.3,207.55,194.3,203.15
2025-10-07 14:25:00,9832962,203.15,242.55,200.3,235.15
2025-10-07 14:30:00,9832962,235.15,245.0,224.15,245.0
2025-10-07 14:35:00,9832962,245.7,270.9,245.2,260.95
2025-10-07 14:40:00,9832962,260.95,277.35,249.55,267.25
2025-10-07 14:45:00,9832962,267.35,268.45,246.15,246.15
2025-10-07 09:45:00,9832962,248.9,252.45,225.8,228.25
2025-10-07 09:50:00,9832962,228.25,232.5,205.35,211.1
2025-10-07 09:55:00,9832962,211.1,215.25,195.55,210.7
2025-10-07 10:00:00,9832962,210.7,211.95,193.3,199.25
2025-10-07 10:05:00,9832962,199.25,204.65,195.15,202.75
2025-10-07 10:10:00,9832962,202.75,209.15,194.85,203.6
2025-10-07 10:15:00,9832962,203.6,213.0,198.75,207.4
2025-10-07 10:20:00,9832962,207.4,219.55,200.45,213.0
2025-10-07 10:25:00,9832962,213.0,220.0,207.1,211.9
2025-10-07 10:30:00,9832962,211.9,217.15,192.4,216.0
2025-10-07 10:35:00,9832962,216.0,229.25,205.25,206.35
2025-10-07 10:40:00,9832962,206.2,222.45,203.0,217.4
2025-10-07 10:45:00,9832962,217.4,224.1,215.2,223.9
2025-10-07 10:50:00,9832962,223.9,231.9,219.65,223.55
2025-10-07 10:55:00,9832962,223.55,240.4,219.9,232.3
2025-10-07 11:00:00,9832962,232.3,246.0,227.95,234.2
2025-10-07 11:05:00,9832962,234.2,236.65,223.2,227.1
2025-10-07 11:10:00,9832962,227.1,247.7,226.45,240.55
2025-10-07 11:15:00,9832962,240.55,254.75,234.6,250.55
2025-10-07 11:20:00,9832962,250.55,292.0,250.0,290.5
2025-10-07 11:25:00,9832962,290.5,290.5,263.7,263.85
2025-10-07 11:30:00,9832962,263.85,279.0,263.85,271.15
2025-10-07 11:35:00,9832962,271.15,306.55,269.65,287.7
2025-10-07 11:40:00,9832962,287.7,296.0,280.55,281.3
2025-10-07 11:45:00,9832962,281.3,295.0,267.3,281.55
2025-10-07 11:50:00,9832962,281.55,287.15,271.9,280.0
2025-10-07 11:55:00,9832962,280.0,280.65,269.45,270.15
2025-10-07 12:00:00,9832962,270.15,270.45,238.45,241.4
2025-10-07 12:05:00,9832962,242.0,242.0,221.65,229.0
2025-10-07 12:10:00,9832962,229.4,243.35,226.4,240.35
2025-10-07 12:15:00,9832962,240.35,253.75,237.1,247.45
2025-10-07 12:20:00,9832962,247.45,253.5,238.25,241.1
2025-10-07 12:25:00,9832962,241.1,245.45,229.0,231.5
2025-10-07 12:30:00,9832962,231.5,240.4,228.8,233.1
2025-10-07 12:35:00,9832962,233.1,238.0,225.15,228.6
2025-10-07 12:40:00,9832962,228.6,232.1,222.15,227.65
2025-10-07 12:45:00,9832962,227.65,231.2,224.6,227.15
2025-10-07 12:50:00,9832962,227.4,237.65,220.3,224.45
2025-10-07 12:55:00,9832962,224.45,232.5,215.0,217.05
2025-10-07 13:00:00,9832962,217.05,221.55,202.4,205.5
2025-10-07 13:05:00,9832962,205.55,209.85,195.7,196.45
2025-10-07 13:10:00,9832962,197.05,207.4,195.55,199.7
2025-10-07 13:15:00,9832962,199.7,200.85,187.2,197.7
2025-10-07 13:20:00,9832962,197.7,202.0,194.05,199.2
2025-10-07 13:25:00,9832962,199.2,203.95,194.7,198.2
2025-10-07 13:30:00,9832962,198.2,222.6,194.8,216.0
2025-10-07 13:35:00,9832962,216.0,224.85,200.4,200.4
2025-10-07 13:40:00,9832962,200.4,200.4,176.4,177.6
2025-10-07 13:45:00,9832962,177.6,187.9,172.0,185.45
2025-10-07 13:50:00,9832962,186.35,198.75,183.4,191.3
2025-10-07 13:55:00,9832962,191.4,203.1,188.55,199.8
2025-10-07 14:00:00,9832962,200.65,200.9,186.9,190.05
2025-10-07 14:05:00,9832962,189.25,196.8,180.4,183.25
2025-10-07 14:10:00,9832962,183.25,205.25,182.45,186.7
2025-10-07 14:15:00,9832962,186.45,197.3,179.0,194.3
2025-10-07 14:20:00,9832962,194.3,207.55,194.3,203.15
2025-10-07 14:25:00,9832962,203.15,242.55,200.3,235.15
2025-10-07 14:30:00,9832962,235.15,245.0,224.15,245.0
2025-10-07 14:35:00,9832962,245.7,270.9,245.2,260.95
2025-10-07 14:40:00,9832962,260.95,277.35,249.55,267.25
2025-10-07 14:45:00,9832962,267.35,268.45,246.15,246.15
2025-10-07 09:45:00,9832962,248.9,252.45,225.8,228.25
2025-10-07 09:50:00,9832962,228.25,232.5,205.35,211.1
2025-10-07 09:55:00,9832962,211.1,215.25,195.55,210.7
2025-10-07 10:00:00,9832962,210.7,211.95,193.3,199.25
2025-10-07 10:05:00,9832962,199.25,204.65,195.15,202.75
2025-10-07 10:10:00,9832962,202.75,209.15,194.85,203.6
2025-10-07 10:15:00,9832962,203.6,213.0,198.75,207.4
2025-10-07 10:20:00,9832962,207.4,219.55,200.45,213.0
2025-10-07 10:25:00,9832962,213.0,220.0,207.1,211.9
2025-10-07 10:30:00,9832962,211.9,217.15,192.4,216.0
2025-10-07 10:35:00,9832962,216.0,229.25,205.25,206.35
2025-10-07 10:40:00,9832962,206.2,222.45,203.0,217.4
2025-10-07 10:45:00,9832962,217.4,224.1,215.2,223.9
2025-10-07 10:50:00,9832962,223.9,231.9,219.65,223.55
2025-10-07 10:55:00,9832962,223.55,240.4,219.9,232.3
2025-10-07 11:00:00,9832962,232.3,246.0,227.95,234.2
2025-10-07 11:05:00,9832962,234.2,236.65,223.2,227.1
2025-10-07 11:10:00,9832962,227.1,247.7,226.45,240.55
2025-10-07 11:15:00,9832962,240.55,254.75,234.6,250.55
2025-10-07 11:20:00,9832962,250.55,292.0,250.0,290.5
2025-10-07 11:25:00,9832962,290.5,290.5,263.7,263.85
2025-10-07 11:30:00,9832962,263.85,279.0,263.85,271.15
2025-10-07 11:35:00,9832962,271.15,306.55,269.65,287.7
2025-10-07 11:40:00,9832962,287.7,296.0,280.55,281.3
2025-10-07 11:45:00,9832962,281.3,295.0,267.3,281.55
2025-10-07 11:50:00,9832962,281.55,287.15,271.9,280.0
2025-10-07 11:55:00,9832962,280.0,280.65,269.45,270.15
2025-10-07 12:00:00,9832962,270.15,270.45,238.45,241.4
2025-10-07 12:05:00,9832962,242.0,242.0,221.65,229.0
2025-10-07 12:10:00,9832962,229.4,243.35,226.4,240.35
2025-10-07 12:15:00,9832962,240.35,253.75,237.1,247.45
2025-10-07 12:20:00,9832962,247.45,253.5,238.25,241.1
2025-10-07 12:25:00,9832962,241.1,245.45,229.0,231.5
2025-10-07 12:30:00,9832962,231.5,240.4,228.8,233.1
2025-10-07 12:35:00,9832962,233.1,238.0,225.15,228.6
2025-10-07 12:40:00,9832962,228.6,232.1,222.15,227.65
2025-10-07 12:45:00,9832962,227.65,231.2,224.6,227.15
2025-10-07 12:50:00,9832962,227.4,237.65,220.3,224.45
2025-10-07 12:55:00,9832962,224.45,232.5,215.0,217.05
2025-10-07 13:00:00,9832962,217.05,221.55,202.4,205.5
2025-10-07 13:05:00,9832962,205.55,209.85,195.7,196.45
2025-10-07 13:10:00,9832962,197.05,207.4,195.55,199.7
2025-10-07 13:15:00,9832962,199.7,200.85,187.2,197.7
2025-10-07 13:20:00,9832962,197.7,202.0,194.05,199.2
2025-10-07 13:25:00,9832962,199.2,203.95,194.7,198.2
2025-10-07 13:30:00,9832962,198.2,222.6,194.8,216.0
2025-10-07 13:35:00,9832962,216.0,224.85,200.4,200.4
2025-10-07 13:40:00,9832962,200.4,200.4,176.4,177.6
2025-10-07 13:45:00,9832962,177.6,187.9,172.0,185.45
2025-10-07 13:50:00,9832962,186.35,198.75,183.4,191.3
2025-10-07 13:55:00,9832962,191.4,203.1,188.55,199.8
2025-10-07 14:00:00,9832962,200.65,200.9,186.9,190.05
2025-10-07 14:05:00,9832962,189.25,196.8,180.4,183.25
2025-10-07 14:10:00,9832962,183.25,205.25,182.45,186.7
2025-10-07 14:15:00,9832962,186.45,197.3,179.0,194.3
2025-10-07 14:20:00,9832962,194.3,207.55,194.3,203.15
2025-10-07 14:25:00,9832962,203.15,242.55,200.3,235.15
2025-10-07 14:30:00,9832962,235.15,245.0,224.15,245.0
2025-10-07 14:35:00,9832962,245.7,270.9,245.2,260.95
2025-10-07 14:40:00,9832962,260.95,277.35,249.55,267.25
2025-10-07 14:45:00,9832962,267.35,268.45,246.15,246.15
2025-10-07 14:50:00,9832962,246.95,264.7,242.05,261.25
2025-10-07 14:55:00,9832962,261.25,266.25,253.9,264.65
2025-10-07 09:45:00,9832962,248.9,252.45,225.8,228.25
2025-10-07 09:50:00,9832962,228.25,232.5,205.35,211.1
2025-10-07 09:55:00,9832962,211.1,215.25,195.55,210.7
2025-10-07 10:00:00,9832962,210.7,211.95,193.3,199.25
2025-10-07 10:05:00,9832962,199.25,204.65,195.15,202.75
2025-10-07 10:10:00,9832962,202.75,209.15,194.85,203.6
2025-10-07 10:15:00,9832962,203.6,213.0,198.75,207.4
2025-10-07 10:20:00,9832962,207.4,219.55,200.45,213.0
2025-10-07 10:25:00,9832962,213.0,220.0,207.1,211.9
2025-10-07 10:30:00,9832962,211.9,217.15,192.4,216.0
2025-10-07 10:35:00,9832962,216.0,229.25,205.25,206.35
2025-10-07 10:40:00,9832962,206.2,222.45,203.0,217.4
2025-10-07 10:45:00,9832962,217.4,224.1,215.2,223.9
2025-10-07 10:50:00,9832962,223.9,231.9,219.65,223.55
2025-10-07 10:55:00,9832962,223.55,240.4,219.9,232.3
2025-10-07 11:00:00,9832962,232.3,246.0,227.95,234.2
2025-10-07 11:05:00,9832962,234.2,236.65,223.2,227.1
2025-10-07 11:10:00,9832962,227.1,247.7,226.45,240.55
2025-10-07 11:15:00,9832962,240.55,254.75,234.6,250.55
2025-10-07 11:20:00,9832962,250.55,292.0,250.0,290.5
2025-10-07 11:25:00,9832962,290.5,290.5,263.7,263.85
2025-10-07 11:30:00,9832962,263.85,279.0,263.85,271.15
2025-10-07 11:35:00,9832962,271.15,306.55,269.65,287.7
2025-10-07 11:40:00,9832962,287.7,296.0,280.55,281.3
2025-10-07 11:45:00,9832962,281.3,295.0,267.3,281.55
2025-10-07 11:50:00,9832962,281.55,287.15,271.9,280.0
2025-10-07 11:55:00,9832962,280.0,280.65,269.45,270.15
2025-10-07 12:00:00,9832962,270.15,270.45,238.45,241.4
2025-10-07 12:05:00,9832962,242.0,242.0,221.65,229.0
2025-10-07 12:10:00,9832962,229.4,243.35,226.4,240.35
2025-10-07 12:15:00,9832962,240.35,253.75,237.1,247.45
2025-10-07 12:20:00,9832962,247.45,253.5,238.25,241.1
2025-10-07 12:25:00,9832962,241.1,245.45,229.0,231.5
2025-10-07 12:30:00,9832962,231.5,240.4,228.8,233.1
2025-10-07 12:35:00,9832962,233.1,238.0,225.15,228.6
2025-10-07 12:40:00,9832962,228.6,232.1,222.15,227.65
2025-10-07 12:45:00,9832962,227.65,231.2,224.6,227.15
2025-10-07 12:50:00,9832962,227.4,237.65,220.3,224.45
2025-10-07 12:55:00,9832962,224.45,232.5,215.0,217.05
2025-10-07 13:00:00,9832962,217.05,221.55,202.4,205.5
2025-10-07 13:05:00,9832962,205.55,209.85,195.7,196.45
2025-10-07 13:10:00,9832962,197.05,207.4,195.55,199.7
2025-10-07 13:15:00,9832962,199.7,200.85,187.2,197.7
2025-10-07 13:20:00,9832962,197.7,202.0,194.05,199.2
2025-10-07 13:25:00,9832962,199.2,203.95,194.7,198.2
2025-10-07 13:30:00,9832962,198.2,222.6,194.8,216.0
2025-10-07 13:35:00,9832962,216.0,224.85,200.4,200.4
2025-10-07 13:40:00,9832962,200.4,200.4,176.4,177.6
2025-10-07 13:45:00,9832962,177.6,187.9,172.0,185.45
2025-10-07 13:50:00,9832962,186.35,198.75,183.4,191.3
2025-10-07 13:55:00,9832962,191.4,203.1,188.55,199.8
2025-10-07 14:00:00,9832962,200.65,200.9,186.9,190.05
2025-10-07 14:05:00,9832962,189.25,196.8,180.4,183.25
2025-10-07 14:10:00,9832962,183.25,205.25,182.45,186.7
2025-10-07 14:15:00,9832962,186.45,197.3,179.0,194.3
2025-10-07 14:20:00,9832962,194.3,207.55,194.3,203.15
2025-10-07 14:25:00,9832962,203.15,242.55,200.3,235.15
2025-10-07 14:30:00,9832962,235.15,245.0,224.15,245.0
2025-10-07 14:35:00,9832962,245.7,270.9,245.2,260.95
2025-10-07 14:40:00,9832962,260.95,277.35,249.55,267.25
2025-10-07 14:45:00,9832962,267.35,268.45,246.15,246.15
2025-10-07 14:50:00,9832962,246.95,264.7,242.05,261.25
2025-10-07 14:55:00,9832962,260.9,266.25,253.9,264.75
2025-10-07 15:00:00,9832962,264.4,279.0,263.25,276.05
2025-10-07 09:45:00,9832962,248.9,252.45,225.8,228.25
2025-10-07 09:50:00,9832962,228.25,232.5,205.35,211.1
2025-10-07 09:55:00,9832962,211.1,215.25,195.55,210.7
2025-10-07 10:00:00,9832962,210.7,211.95,193.3,199.25
2025-10-07 10:05:00,9832962,199.25,204.65,195.15,202.75
2025-10-07 10:10:00,9832962,202.75,209.15,194.85,203.6
2025-10-07 10:15:00,9832962,203.6,213.0,198.75,207.4
2025-10-07 10:20:00,9832962,207.4,219.55,200.45,213.0
2025-10-07 10:25:00,9832962,213.0,220.0,207.1,211.9
2025-10-07 10:30:00,9832962,211.9,217.15,192.4,216.0
2025-10-07 10:35:00,9832962,216.0,229.25,205.25,206.35
2025-10-07 10:40:00,9832962,206.2,222.45,203.0,217.4
2025-10-07 10:45:00,9832962,217.4,224.1,215.2,223.9
2025-10-07 10:50:00,9832962,223.9,231.9,219.65,223.55
2025-10-07 10:55:00,9832962,223.55,240.4,219.9,232.3
2025-10-07 11:00:00,9832962,232.3,246.0,227.95,234.2
2025-10-07 11:05:00,9832962,234.2,236.65,223.2,227.1
2025-10-07 11:10:00,9832962,227.1,247.7,226.45,240.55
2025-10-07 11:15:00,9832962,240.55,254.75,234.6,250.55
2025-10-07 11:20:00,9832962,250.55,292.0,250.0,290.5
2025-10-07 11:25:00,9832962,290.5,290.5,263.7,263.85
2025-10-07 11:30:00,9832962,263.85,279.0,263.85,271.15
2025-10-07 11:35:00,9832962,271.15,306.55,269.65,287.7
2025-10-07 11:40:00,9832962,287.7,296.0,280.55,281.3
2025-10-07 11:45:00,9832962,281.3,295.0,267.3,281.55
2025-10-07 11:50:00,9832962,281.55,287.15,271.9,280.0
2025-10-07 11:55:00,9832962,280.0,280.65,269.45,270.15
2025-10-07 12:00:00,9832962,270.15,270.45,238.45,241.4
2025-10-07 12:05:00,9832962,242.0,242.0,221.65,229.0
2025-10-07 12:10:00,9832962,229.4,243.35,226.4,240.35
2025-10-07 12:15:00,9832962,240.35,253.75,237.1,247.45
2025-10-07 12:20:00,9832962,247.45,253.5,238.25,241.1
2025-10-07 12:25:00,9832962,241.1,245.45,229.0,231.5
2025-10-07 12:30:00,9832962,231.5,240.4,228.8,233.1
2025-10-07 12:35:00,9832962,233.1,238.0,225.15,228.6
2025-10-07 12:40:00,9832962,228.6,232.1,222.15,227.65
2025-10-07 12:45:00,9832962,227.65,231.2,224.6,227.15
2025-10-07 12:50:00,9832962,227.4,237.65,220.3,224.45
2025-10-07 12:55:00,9832962,224.45,232.5,215.0,217.05
2025-10-07 13:00:00,9832962,217.05,221.55,202.4,205.5
2025-10-07 13:05:00,9832962,205.55,209.85,195.7,196.45
2025-10-07 13:10:00,9832962,197.05,207.4,195.55,199.7
2025-10-07 13:15:00,9832962,199.7,200.85,187.2,197.7
2025-10-07 13:20:00,9832962,197.7,202.0,194.05,199.2
2025-10-07 13:25:00,9832962,199.2,203.95,194.7,198.2
2025-10-07 13:30:00,9832962,198.2,222.6,194.8,216.0
2025-10-07 13:35:00,9832962,216.0,224.85,200.4,200.4
2025-10-07 13:40:00,9832962,200.4,200.4,176.4,177.6
2025-10-07 13:45:00,9832962,177.6,187.9,172.0,185.45
2025-10-07 13:50:00,9832962,186.35,198.75,183.4,191.3
2025-10-07 13:55:00,9832962,191.4,203.1,188.55,199.8
2025-10-07 14:00:00,9832962,200.65,200.9,186.9,190.05
2025-10-07 14:05:00,9832962,189.25,196.8,180.4,183.25
2025-10-07 14:10:00,9832962,183.25,205.25,182.45,186.7
2025-10-07 14:15:00,9832962,186.45,197.3,179.0,194.3
2025-10-07 14:20:00,9832962,194.3,207.55,194.3,203.15
2025-10-07 14:25:00,9832962,203.15,242.55,200.3,235.15
2025-10-07 14:30:00,9832962,235.15,245.0,224.15,245.0
2025-10-07 14:35:00,9832962,245.7,270.9,245.2,260.95
2025-10-07 14:40:00,9832962,260.95,277.35,249.55,267.25
2025-10-07 14:45:00,9832962,267.35,268.45,246.15,246.15
2025-10-07 14:50:00,9832962,246.95,264.7,242.05,261.25
2025-10-07 14:55:00,9832962,260.9,266.25,253.9,264.75
2025-10-07 15:00:00,9832962,264.4,279.0,263.25,276.05
